Department,Course,Section,Title,Course Division,Credits,Limit,Enrolled,Start Date,End Date,Offer Days1,Time From1,Time To1,Instructor1,Room Abbreviation1,Room Number1,Campus1,Offer Days2,Time From2,Time To2,Instructor2,Room Abbreviation2,Room Number2,Campus2
ACCT,31021,OL11,Financial Accounting and Reporting II,PLASTER BUSINESS & ENTREPRENEURSHIP,3,20,10,1/13/2020,3/8/2020,ARR,,,Coleman Steve,ONLIN,ONLINE,ONLINE,,,,,,,
ACCT,31040,OL21,Accounting Information Systems,PLASTER BUSINESS & ENTREPRENEURSHIP,3,25,29,3/16/2020,5/8/2020,ARR,,,Ulrich Kim,ONLIN,ONLINE,ONLINE,,,,,,,
ACCT,31041,OL11,Excel for Accounting,PLASTER BUSINESS & ENTREPRENEURSHIP,3,25,25,1/13/2020,3/8/2020,ARR,,,Ulrich Kim,ONLIN,ONLINE,ONLINE,,,,,,,
ACCT,41030,OL11,Introduction to Cost Accounting,PLASTER BUSINESS & ENTREPRENEURSHIP,3,25,18,1/13/2020,3/8/2020,ARR,,,Singer Robert,ONLIN,ONLINE,ONLINE,,,,,,,
ACCT,41050,11,Income Tax,PLASTER BUSINESS & ENTREPRENEURSHIP,3,30,17,1/13/2020,5/8/2020,TR,1:00PM,2:15PM,Bosnick James,HARMN,137,MAIN,,,,,,,
ACCT,41070,11,Financial Statement Analysis,PLASTER BUSINESS & ENTREPRENEURSHIP,3,30,25,1/13/2020,5/8/2020,MWF,10:00AM,10:50AM,Singer Robert,HARMN,137,MAIN,,,,,,,
ACCT,41080,11,Auditing,PLASTER BUSINESS & ENTREPRENEURSHIP,3,30,23,1/13/2020,5/8/2020,TR,11:00AM,12:15PM,Willbrand Kim,HARMN,250,MAIN,,,,,,,
ACCT,41080,BV11,Auditing,BV-BUSINESS & ENTREPRENEURSHIP,3,25,2,1/13/2020,5/8/2020,TR,2:00PM,3:15PM,Glass Alan,BLV-L,106,BELLEVILLE,,,,,,,
ACCT,41095,PIF11,Internship,PLASTER BUSINESS & ENTREPRENEURSHIP,3,10,6,1/13/2020,5/8/2020,ARR,,,Wehmer-Callahan Laura,INTSH,INTRSHP,MAIN,,,,,,,
ACCT,41095,PIFB1,Internship,BV-BUSINESS & ENTREPRENEURSHIP,1,10,2,1/13/2020,5/8/2020,ARR,,,Glass Alan,BELV,BELLEVILLE,BELLEVILLE,,,,,,,
ACCT,41096,PIF11,Internship II,PLASTER BUSINESS & ENTREPRENEURSHIP,1,5,2,1/13/2020,5/8/2020,ARR,,,Wehmer-Callahan Laura,ARR,ARRANGED,MAIN,,,,,,,
AES,10200,11,The Air Force Today,PLASTER BUSINESS & ENTREPRENEURSHIP,3,20,7,1/13/2020,5/8/2020,W,2:00PM,3:00PM,Hernandez Danira,STLU,STLU,MAIN,,,,,,,
AES,11200,21,Leadership Laboratory II,PLASTER BUSINESS & ENTREPRENEURSHIP,0,20,6,1/13/2020,5/8/2020,W,3:30PM,5:00PM,Hernandez Danira,STLU,STLU,MAIN,,,,,,,
AES,20200,21,The Air Force Way,PLASTER BUSINESS & ENTREPRENEURSHIP,2,20,1,1/13/2020,5/8/2020,W,1:00PM,1:50PM,Hernandez Danira,STLU,STLU,MAIN,,,,,,,
